Judul,Topik 1,Topik 2,Topik 3
OPTIMASI PEMILIHAN PORTOFOLIO SAHAM PERUSAHAAN SEKTOR TAMBANG DENGAN MENGGUNAKAN GOAL PROGRAMMING,0.9959179250435197,0.0020378584353267365,0.0020442165211535536
PERANCANGAN TATA LETAK FASILITAS LANTAI PRODUKSI PT. ABC MENGGUNAKAN MEDOTE SYSTEMATIC LAYOUT PLANNING (SLP) DAN ALGORITMA GENETIK,0.4050944864640125,0.002501123473121013,0.5924043900628664
PERUMUSAN STRATEGI BISNIS UD. BUDI JAYA BANGKALAN ?DENGAN PENDEKATAN MODEL FRED R. DAVID,0.9216638247066622,0.07630568159298434,0.0020304937003533903
USULAN PERBAIKAN UTILITAS RESOURCES PADA LANTAI PRODUKSI PT INDOSPRING TBK DENGAN PENDEKATAN SIMULASI,0.3092081360819431,0.19695502764304598,0.4938368362750109
"Peningkatan Kepuasan Masyarakat Terhadap Pelayanan Aparatur Kepolisian dengan Menggunakan Integrasi Importance Performance Analysis (IPA) dan Model Kano
(Studi Kasus pada Bagian Pengurusan Surat Izin",0.0016578784761089509,0.9966761129373967,0.0016660085864944477
Perencanaan Penjadwalan Dan Rute Terpendek Distribusi Premium PT. PERTAMINA Camplong Menggunakan Metode Distribution Requirement Planning (DRP)Dan Algoritma Dijkstra,0.0017609129510578515,0.9964752389060642,0.0017638481428779555
USULAN PERBAIKAN PADA PROSES PRODUKSI BOTOL KACA DNGAN MENGGUNAKAN METODE LEAN SIX SIGMA (Studi Kasus : di PT. IGLAS Gresik),0.6317108291976651,0.0027803423228117408,0.3655088284795232
"PERENCANAAN AGREGAT PRODUKSI PLYWOOD DENGAN TEKNIK GOAL PROGRAMMING (Studi Kasus : PT. TIRTA MAHAKAM RESOUCES Tbk, Gresik)",0.5560737803243072,0.44140722300194535,0.002518996673747346
Pengaruh analisa jabatan terhadap motivasi kerja karyawan Fakultas Teknik Universitas Trunojoyo Madura,0.0016123556916048348,0.0016208954832042902,0.9967667488251909
"Pendekatan Quality Risk Management (QRM) Untuk Usulan Mengurangi Cacat Produk 
Pada Pt.Sumber Mas Indah Plywood,Gresik

",0.0014589175134505084,0.9970851081162175,0.001455974370331919
"Analisis Pengendalian dan Perbaikan Kualitas dengan Pendekatan Metode Six Sigma
Dan 5w+1h Sebagai Upaya Peningkatan Kualitas Produk",0.9966849705196437,0.0016551943779155097,0.0016598351024407825
"ANALISA PRODUKTIVITAS DAN KINERJA LINGKUNGAN PADA PROSES
PRODUKSI PUPUK UREA DENGAN PENDEKATAN GREEN PRODUCTIVITY
(Studi Kasus: PT. Petrokimia Gresik)",0.7926429793534853,0.2053261410641235,0.0020308795823912643
Identifikasi Preferensi Konsumen Dalam Minat Beli Rumah Dengan Pendekatan Metode Decision Tree (Studi Kasus : Perumahan Permata Indah Bangkalan),0.9955202672999457,0.002240737957735204,0.002238994742319117
PERANCANGAN MODEL KONSEPTUAL PENGARUH KEEFEKTIFAN KNOWLEDGE TRANSFER TERHADAP COMPETITIVE ADVANTAGE IKM  DI BANGKALAN,0.0019067428892189401,0.9961960470712335,0.0018972100395474843
ANALISIS POSTUR KERJA DAN FISIOLOGI KERJA PADA PEKERJA PENAMBANG BATU DI KECAMATAN AROSBAYA-BANGKALAN (Studi Kasus : Penambang Batu Kecamatan Arosbaya-Bangkalan),0.0014751187061670587,0.0014856708752362833,0.9970392104185968
Desain Perancangan Produk Lemari 4in1 Dengan Menggunakan Metode Anthropometri,0.9950731555447524,0.002472909514482553,0.0024539349407650965
PENJADWALAN PRODUKSI JOB SHOP UNTUK MINIMASI TOTAL PENALTY DENGAN MENGGUNAKAN ALGORITMA GENETIKA,0.0016716963375603391,0.0016728238824221856,0.9966554797800176
PERANCANGAN TATA LETAK FASILITAS LANTAI PRODUKSI PT. ABC MENGGUNAKAN METODE GRAFIK DAN ALGORITMA SIMULATED ANNEALING,0.9959776540727738,0.002005323099920886,0.002017022827305343
PENERAPAN GREEN PRODUCTIVITY UNTUK EVALUASI PRODUKTIVITAS DAN KINERJA LINGKUNGAN PT. XYZ,0.030395150836671957,0.9675125191087427,0.002092330054585314
"ANALISIS KEANDALAN PENGRAJIN BATIK TULIS UNTUK MENURUNKAN RESIKO HUMAN ERROR DENGAN MENGGUNAKAN METODE HUMAN RELIABILITY ASSESSMENT (Study Kasus Sentra Industri Batik  Desa Kowel, Pamekasan)",0.9966218428817409,0.0016835668995078578,0.001694590218751197
ANALISIS REKAYASA NILAI (VALUE ENGINEERING) TERHADAP PRODUK TIKAR LIPAT,0.34758987571863126,0.001968705398827717,0.650441418882541
